location_name,emotions
 香港大學綜合大樓地下2號舖,Rude
 香港大學綜合大樓地下2號舖,Doubtful
 香港大學綜合大樓地下2號舖,Frustrated
 香港大學綜合大樓地下2號舖,Hungry
 香港大學綜合大樓地下2號舖,Disappointed
 香港大學綜合大樓地下2號舖,Ignored
 香港大學綜合大樓地下2號舖,Disappointing
 香港大學綜合大樓地下2號舖,Frustrated
 香港大學綜合大樓地下2號舖,Unhappy
 香港大學綜合大樓地下2號舖,Happy
 香港大學綜合大樓地下2號舖,Excited
 香港大學綜合大樓地下2號舖,Pleased
 香港大學綜合大樓地下2號舖,Thrilled
 香港大學綜合大樓地下2號舖,Pleased
 香港大學綜合大樓地下2號舖,Impressed
 香港大學綜合大樓地下2號舖,Convenient
 香港大學綜合大樓地下2號舖,Routine
 香港大學綜合大樓地下2號舖,Unremarkable
 香港大學綜合大樓地下2號舖,Reasonable
 香港大學綜合大樓地下2號舖,Small
 香港大學綜合大樓地下2號舖,Available
 香港大學綜合大樓地下2號舖,Cold
 香港大學綜合大樓地下2號舖,Less
 香港大學綜合大樓地下2號舖,Icy
 香港大學綜合大樓地下2號舖,Unprofessional
 香港大學綜合大樓地下2號舖,Uncaring
 香港大學綜合大樓地下2號舖,Disappointing
 香港大學綜合大樓地下2號舖,Good
 香港大學綜合大樓地下2號舖,Enjoyable
 香港大學綜合大樓地下2號舖,Satisfying
 香港大學綜合大樓地下2號舖,Subtle
 香港大學綜合大樓地下2號舖,Quiet
 香港大學綜合大樓地下2號舖,Picturesque
 香港大學綜合大樓地下2號舖,Enjoyable
 香港大學綜合大樓地下2號舖,Popular
 香港大學綜合大樓地下2號舖,Discounted
 香港大學綜合大樓地下2號舖,Good
 香港大學綜合大樓地下2號舖,Ordinary
 香港大學綜合大樓地下2號舖,NA
 香港大學綜合大樓地下2號舖,Impatient
 香港大學綜合大樓地下2號舖,Frustrated
 香港大學綜合大樓地下2號舖,Annoyed
 香港大學綜合大樓地下2號舖,Disappointing
 香港大學綜合大樓地下2號舖,Unsatisfactory
 香港大學綜合大樓地下2號舖,Unimpressive
 香港大學綜合大樓地下2號舖,Good
 香港大學綜合大樓地下2號舖,Affordable
 香港大學綜合大樓地下2號舖,Convenient
 香港大學綜合大樓地下2號舖,Satisfactory
 香港大學綜合大樓地下2號舖,Consistent
 香港大學綜合大樓地下2號舖,Pleasant
 香港大學綜合大樓地下2號舖,Relaxing
 香港大學綜合大樓地下2號舖,Refreshing
 香港大學綜合大樓地下2號舖,Satisfying
 香港大學綜合大樓地下2號舖,Convenient
 香港大學綜合大樓地下2號舖,Efficient
 香港大學綜合大樓地下2號舖,Impersonal
 香港大學綜合大樓地下2號舖,Adoration
 香港大學綜合大樓地下2號舖,Affectionate
 香港大學綜合大樓地下2號舖,Fondness
The Henry*,Favourable
The Henry*,Wishful
The Henry*,Satisfied
The Henry*,Watery
The Henry*,Disappointing
The Henry*,Unsatisfactory
The Henry*,Frustrated
The Henry*,Impatient
The Henry*,Annoyed
The Henry*,Polite
The Henry*,Warm
The Henry*,Better
The Henry*,Cold
The Henry*,Old
The Henry*,Infrequent
The Henry*,Frustrated
The Henry*,Annoyed
The Henry*,Disappointed
The Henry*,Crowded
The Henry*,Small
The Henry*,Dirty
The Henry*,Helpful
The Henry*,Prompt
The Henry*,Memorable
The Henry*,Nice
The Henry*,Great
The Henry*,Neutral
The Henry*,Serene
The Henry*,Tasteful
The Henry*,Nice
The Henry*,Good
The Henry*,Small
The Henry*,Cold
The Henry*,Unpleasant
The Henry*,Quiet
The Henry*,Reserved
The Henry*,Good
The Henry*,Nice
The Henry*,Short
The Henry*,Great
The Henry*,Usual
The Henry*,Service
The Henry*,Practical
The Henry*,Quiet
The Henry*,Chaotic
The Henry*,Small
The Henry*,Usual
The Henry*,Friendly
The Henry*,Cosy
The Henry*,Soft
The Henry*,Unheardable
The Henry*,Global
The Henry*,Successful
The Henry*,Chosen
The Henry*,Unpleasant
The Henry*,Overpriced
The Henry*,Disappointing
The Henry*,Delicious
The Henry*,Amazing
The Henry*,Satisfying
Imperial Kennedy,Efficient
Imperial Kennedy,Enjoyed
Imperial Kennedy,Clean
Imperial Kennedy,Quiet
Imperial Kennedy,Nice
Imperial Kennedy,Unacceptable
Imperial Kennedy,Relaxing
Imperial Kennedy,Comforting
Imperial Kennedy,Special
Imperial Kennedy,Nice
Imperial Kennedy,Average
Imperial Kennedy,Important
Imperial Kennedy,Friendly
Imperial Kennedy,Efficient
Imperial Kennedy,Hospitable
Imperial Kennedy,Friendly
Imperial Kennedy,Efficient
Imperial Kennedy,Relaxing
Imperial Kennedy,Frustrated
Imperial Kennedy,Disgusted
Imperial Kennedy,Uncomfortable
Imperial Kennedy,Beautiful
Imperial Kennedy,Amazing
Imperial Kennedy,Lovely
Imperial Kennedy,Frustrated
Imperial Kennedy,Disappointed
Imperial Kennedy,Confused
Imperial Kennedy,Peaceful
Imperial Kennedy,Enjoyable
Imperial Kennedy,Good
Imperial Kennedy,Quick
Imperial Kennedy,Efficient
Imperial Kennedy,High
Imperial Kennedy,Limited
Imperial Kennedy,Satisfied
Imperial Kennedy,Indifferent
Imperial Kennedy,Disgusting
Imperial Kennedy,Unsatisfied
Imperial Kennedy,Unpleasant
Imperial Kennedy,Cozy
Imperial Kennedy,Signature
Imperial Kennedy,Top
Imperial Kennedy,Decent
Imperial Kennedy,Good
Imperial Kennedy,Quick
Imperial Kennedy,Good
Imperial Kennedy,Nice
Imperial Kennedy,Food
Imperial Kennedy,Passionate
Imperial Kennedy,Proactive
Imperial Kennedy,Professional
Imperial Kennedy,Frustrated
Imperial Kennedy,Impatient
Imperial Kennedy,Disappointed
Imperial Kennedy,Comfortable
Imperial Kennedy,Enjoyable
Imperial Kennedy,Light
Imperial Kennedy,Dim
Imperial Kennedy,Occupied
Imperial Kennedy,Standard
